frame,time,drone_x,drone_y,waypoint_x,waypoint_y,waypoint_radius,interacting,rtm_up,rtm_down,rtm_right,rtm_left,key_up,key_down,key_right,key_left,id,visuals,haptics
0,4.71342658996582,450.0,300.0,210.04046770950274,588.0172479359771,50,False,0,82.80316212159582,0,73.9925809199245,False,False,False,False,2,True,True
1,4.816448450088501,450.0,300.0,210.04046770950274,588.0172479359771,50,False,0,82.80316212159582,0,73.9925809199245,False,False,False,False,2,True,True
2,4.919412136077881,450.0,300.0,210.04046770950274,588.0172479359771,50,False,0,82.80316212159582,0,73.9925809199245,False,False,False,False,2,True,True
3,5.022587299346924,450.0,300.0,210.04046770950274,588.0172479359771,50,False,0,82.80316212159582,0,73.9925809199245,False,False,False,False,2,True,True
4,5.125621557235718,450.0,300.0,210.04046770950274,588.0172479359771,50,False,0,82.80316212159582,0,73.9925809199245,False,False,False,False,2,True,True
5,5.22865629196167,450.0,304.0,210.04046770950274,588.0172479359771,50,False,0,82.06982878826247,0,73.9925809199245,False,True,False,False,2,True,True
6,5.331949472427368,446.0,308.0,210.04046770950274,588.0172479359771,50,False,0,81.33649545492915,0,73.25924758659116,False,True,False,True,2,True,True
7,5.434977293014526,442.0,312.0,210.04046770950274,588.0172479359771,50,False,0,80.6031621215958,0,72.52591425325784,False,True,False,True,2,True,True
8,5.537903308868408,438.0,316.0,210.04046770950274,588.0172479359771,50,False,0,79.86982878826248,0,71.7925809199245,False,True,False,True,2,True,True
9,5.639822006225586,434.0,320.0,210.04046770950274,588.0172479359771,50,False,0,79.13649545492915,0,71.05924758659117,False,True,False,True,2,True,True
10,5.7428364753723145,430.0,324.0,210.04046770950274,588.0172479359771,50,False,0,78.40316212159581,0,70.32591425325782,False,True,False,True,2,True,True
11,5.846326589584351,426.0,328.0,210.04046770950274,588.0172479359771,50,False,0,77.66982878826248,0,69.5925809199245,False,True,False,True,2,True,True
12,5.949464559555054,422.0,332.0,210.04046770950274,588.0172479359771,50,False,0,76.93649545492914,0,68.85924758659117,False,True,False,True,2,True,True
13,6.0523645877838135,418.0,336.0,210.04046770950274,588.0172479359771,50,False,0,76.20316212159581,0,68.12591425325783,False,True,False,True,2,True,True
14,6.1555986404418945,414.0,340.0,210.04046770950274,588.0172479359771,50,False,0,75.46982878826248,0,67.3925809199245,False,True,False,True,2,True,True
15,6.258785724639893,410.0,344.0,210.04046770950274,588.0172479359771,50,False,0,74.73649545492914,0,66.65924758659116,False,True,False,True,2,True,True
16,6.3618550300598145,406.0,348.0,210.04046770950274,588.0172479359771,50,False,0,74.0031621215958,0,65.92591425325784,False,True,False,True,2,True,True
17,6.465006589889526,402.0,352.0,210.04046770950274,588.0172479359771,50,False,0,73.26982878826249,0,65.1925809199245,False,True,False,True,2,True,True
18,6.568144798278809,398.0,356.0,210.04046770950274,588.0172479359771,50,False,0,72.53649545492914,0,64.45924758659116,False,True,False,True,2,True,True
19,6.671302795410156,394.0,360.0,210.04046770950274,588.0172479359771,50,False,0,71.8031621215958,0,63.725914253257834,False,True,False,True,2,True,True
20,6.774477481842041,390.0,364.0,210.04046770950274,588.0172479359771,50,False,0,71.06982878826247,0,62.9925809199245,False,True,False,True,2,True,True
21,6.877784013748169,386.0,368.0,210.04046770950274,588.0172479359771,50,False,0,70.33649545492915,0,62.259247586591165,False,True,False,True,2,True,True
22,6.981216907501221,382.0,372.0,210.04046770950274,588.0172479359771,50,False,0,69.6031621215958,0,61.52591425325783,False,True,False,True,2,True,True
23,7.084059238433838,378.0,376.0,210.04046770950274,588.0172479359771,50,False,0,68.86982878826248,0,60.7925809199245,False,True,False,True,2,True,True
24,7.187225818634033,374.0,380.0,210.04046770950274,588.0172479359771,50,False,0,68.13649545492913,0,60.05924758659117,False,True,False,True,2,True,True
25,7.290483236312866,370.0,384.0,210.04046770950274,588.0172479359771,50,False,0,67.40316212159581,0,59.325914253257835,False,True,False,True,2,True,True
26,7.393712759017944,366.0,388.0,210.04046770950274,588.0172479359771,50,False,0,66.66982878826248,0,58.5925809199245,False,True,False,True,2,True,True
27,7.496748685836792,362.0,392.0,210.04046770950274,588.0172479359771,50,False,0,65.93649545492914,0,57.85924758659117,False,True,False,True,2,True,True
28,7.5999908447265625,358.0,396.0,210.04046770950274,588.0172479359771,50,False,0,65.20316212159581,0,57.12591425325783,False,True,False,True,2,True,True
29,7.7031331062316895,354.0,400.0,210.04046770950274,588.0172479359771,50,False,0,64.46982878826248,0,56.3925809199245,False,True,False,True,2,True,True
30,7.806278705596924,350.0,404.0,210.04046770950274,588.0172479359771,50,False,0,63.73649545492914,0,55.659247586591164,False,True,False,True,2,True,True
31,7.909376621246338,346.0,408.0,210.04046770950274,588.0172479359771,50,False,0,63.003162121595814,0,54.92591425325783,False,True,False,True,2,True,True
32,8.013020277023315,342.0,412.0,210.04046770950274,588.0172479359771,50,False,0,62.26982878826247,0,54.192580919924495,False,True,False,True,2,True,True
33,8.11664605140686,338.0,416.0,210.04046770950274,588.0172479359771,50,False,0,61.53649545492914,0,53.45924758659116,False,True,False,True,2,True,True
34,8.219858646392822,334.0,420.0,210.04046770950274,588.0172479359771,50,False,0,60.80316212159581,0,52.72591425325783,False,True,False,True,2,True,True
35,8.323229312896729,330.0,424.0,210.04046770950274,588.0172479359771,50,False,0,60.06982878826248,0,51.9925809199245,False,True,False,True,2,True,True
36,8.426462173461914,326.0,428.0,210.04046770950274,588.0172479359771,50,False,0,59.336495454929135,0,51.259247586591165,False,True,False,True,2,True,True
37,8.529521703720093,322.0,432.0,210.04046770950274,588.0172479359771,50,False,0,58.60316212159581,0,50.52591425325783,False,True,False,True,2,True,True
38,8.632724285125732,318.0,436.0,210.04046770950274,588.0172479359771,50,False,0,57.869828788262474,0,49.7925809199245,False,True,False,True,2,True,True
39,8.736057758331299,314.0,440.0,210.04046770950274,588.0172479359771,50,False,0,57.13649545492914,0,49.05924758659117,False,True,False,True,2,True,True
40,8.839026689529419,310.0,444.0,210.04046770950274,588.0172479359771,50,False,0,56.40316212159581,0,48.325914253257835,False,True,False,True,2,True,True
41,8.942699193954468,306.0,448.0,210.04046770950274,588.0172479359771,50,False,0,55.66982878826248,0,47.5925809199245,False,True,False,True,2,True,True
42,9.045780181884766,302.0,452.0,210.04046770950274,588.0172479359771,50,False,0,54.936495454929144,0,46.85924758659117,False,True,False,True,2,True,True
43,9.14899730682373,298.0,456.0,210.04046770950274,588.0172479359771,50,False,0,54.20316212159581,0,46.12591425325783,False,True,False,True,2,True,True
44,9.252755165100098,294.0,460.0,210.04046770950274,588.0172479359771,50,False,0,53.469828788262475,0,45.3925809199245,False,True,False,True,2,True,True
45,9.355767488479614,290.0,464.0,210.04046770950274,588.0172479359771,50,False,0,52.73649545492914,0,44.659247586591164,False,True,False,True,2,True,True
46,9.45880913734436,286.0,468.0,210.04046770950274,588.0172479359771,50,False,0,52.00316212159581,0,43.92591425325783,False,True,False,True,2,True,True
47,9.561832189559937,282.0,472.0,210.04046770950274,588.0172479359771,50,False,0,51.26982878826247,0,43.192580919924495,False,True,False,True,2,True,True
48,9.66531491279602,278.0,476.0,210.04046770950274,588.0172479359771,50,False,0,50.53649545492914,0,42.45924758659116,False,True,False,True,2,True,True
49,9.768838167190552,274.0,480.0,210.04046770950274,588.0172479359771,50,False,0,49.803162121595804,0,41.725914253257834,False,True,False,True,2,True,True
50,9.871749877929688,270.0,484.0,210.04046770950274,588.0172479359771,50,False,0,49.06982878826247,0,40.9925809199245,False,True,False,True,2,True,True
51,9.974889278411865,266.0,488.0,210.04046770950274,588.0172479359771,50,False,0,48.33649545492914,0,40.259247586591165,False,True,False,True,2,True,True
52,10.07809591293335,262.0,492.0,210.04046770950274,588.0172479359771,50,False,0,47.60316212159581,0,39.52591425325783,False,True,False,True,2,True,True
53,10.181485414505005,258.0,496.0,210.04046770950274,588.0172479359771,50,False,0,46.869828788262474,0,38.7925809199245,False,True,False,True,2,True,True
54,10.28458285331726,254.0,500.0,210.04046770950274,588.0172479359771,50,False,0,46.13649545492915,0,38.05924758659116,False,True,False,True,2,True,True
55,10.387564182281494,250.0,504.0,210.04046770950274,588.0172479359771,50,False,0,45.40316212159581,0,37.325914253257835,False,True,False,True,2,True,True
