frame,time,drone_x,drone_y,waypoint_x,waypoint_y,waypoint_radius,interacting,key_up,key_down,key_right,key_left,id,visuals,haptics
0,9.957798719406128,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
1,9.991005659103394,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
2,10.02429461479187,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
3,10.056724548339844,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
4,10.089979887008667,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
5,10.12324070930481,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
6,10.156296491622925,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
7,10.190476655960083,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
8,10.224104166030884,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
9,10.257800579071045,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
10,10.290984392166138,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
11,10.324325323104858,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
12,10.356593370437622,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
13,10.389907598495483,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
14,10.423261165618896,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
15,10.456532001495361,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
16,10.489779233932495,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
17,10.5229332447052,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
18,10.556066989898682,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
19,10.589152336120605,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
20,10.622478246688843,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
21,10.655641555786133,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
22,10.688880443572998,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
23,10.721438884735107,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
24,10.754553079605103,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
25,10.787816047668457,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
26,10.821140050888062,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
27,10.854588031768799,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
28,10.887863159179688,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
29,10.921264171600342,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
30,10.953559637069702,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
31,10.986675024032593,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
32,11.019944906234741,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
33,11.053322315216064,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
34,11.085742712020874,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
35,11.118788242340088,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
36,11.151981115341187,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
37,11.185394525527954,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
38,11.217546463012695,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
39,11.25070595741272,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
40,11.283847570419312,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
41,11.317002773284912,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
42,11.350273847579956,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
43,11.38256025314331,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
44,11.41574215888977,450.0,300.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
45,11.44853138923645,450.0,296.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
46,11.482344388961792,450.0,292.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
47,11.514416694641113,450.0,288.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
48,11.547609806060791,450.0,284.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
49,11.580706119537354,450.0,280.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
50,11.614668607711792,450.0,276.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
51,11.648155689239502,450.0,272.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
52,11.681459903717041,450.0,272.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
53,11.714617729187012,450.0,272.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
54,11.747904539108276,450.0,272.0,567.9170283441896,85.60268594817077,50,False,False,False,False,False,1,True,False
55,11.78148078918457,450.0,268.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
56,11.813795328140259,450.0,264.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
57,11.847073793411255,450.0,260.0,567.9170283441896,85.60268594817077,50,False,True,False,False,False,1,True,False
