frame,time,drone_x,drone_y,waypoint_x,waypoint_y,waypoint_radius,interacting,rtm_up,rtm_down,rtm_right,rtm_left,key_up,key_down,key_right,key_left,id,visuals,haptics
0,2.857957363128662,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
1,2.960911989212036,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
2,3.063243865966797,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
3,3.166372776031494,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
4,3.269436836242676,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
5,3.372537612915039,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
6,3.4757354259490967,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
7,3.5789217948913574,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
8,3.6819865703582764,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
9,3.785248279571533,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
10,3.8885302543640137,450.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,76.21229600353062,False,False,False,False,5,True,True
11,3.9917426109313965,446.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,75.47896267019729,False,False,False,True,5,True,True
12,4.094931364059448,442.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,74.74562933686396,False,False,False,True,5,True,True
13,4.198023080825806,438.0,300.0,197.93293088983296,203.9464533301482,50,False,47.60981688947283,0,0,74.01229600353062,False,False,False,True,5,True,True
14,4.301587104797363,434.0,296.0,197.93293088983296,203.9464533301482,50,False,46.8764835561395,0,0,73.2789626701973,True,False,False,True,5,True,True
15,4.4049036502838135,430.0,296.0,197.93293088983296,203.9464533301482,50,False,46.8764835561395,0,0,72.54562933686395,False,False,False,True,5,True,True
16,4.5083372592926025,426.0,292.0,197.93293088983296,203.9464533301482,50,False,46.14315022280617,0,0,71.81229600353062,True,False,False,True,5,True,True
17,4.611508846282959,422.0,288.0,197.93293088983296,203.9464533301482,50,False,45.409816889472836,0,0,71.07896267019728,True,False,False,True,5,True,True
18,4.714645624160767,418.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,70.34562933686396,True,False,False,True,5,True,True
19,4.817783355712891,414.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,69.61229600353062,False,False,False,True,5,True,True
20,4.920732021331787,410.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,68.8789626701973,False,False,False,True,5,True,True
21,5.023668527603149,406.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,68.14562933686395,False,False,False,True,5,True,True
22,5.126814126968384,402.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,67.41229600353063,False,False,False,True,5,True,True
23,5.229978084564209,398.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,66.6789626701973,False,False,False,True,5,True,True
24,5.333340406417847,394.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,65.94562933686396,False,False,False,True,5,True,True
25,5.4369611740112305,390.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,65.21229600353062,False,False,False,True,5,True,True
26,5.540472030639648,386.0,284.0,197.93293088983296,203.9464533301482,50,False,44.6764835561395,0,0,64.47896267019729,False,False,False,True,5,True,True
27,5.644200086593628,382.0,280.0,197.93293088983296,203.9464533301482,50,False,43.94315022280617,0,0,63.745629336863956,True,False,False,True,5,True,True
28,5.747344732284546,378.0,276.0,197.93293088983296,203.9464533301482,50,False,43.20981688947283,0,0,63.01229600353063,True,False,False,True,5,True,True
29,5.850478172302246,374.0,272.0,197.93293088983296,203.9464533301482,50,False,42.4764835561395,0,0,62.27896267019729,True,False,False,True,5,True,True
30,5.95366644859314,370.0,268.0,197.93293088983296,203.9464533301482,50,False,41.743150222806165,0,0,61.54562933686395,True,False,False,True,5,True,True
31,6.056755781173706,366.0,264.0,197.93293088983296,203.9464533301482,50,False,41.00981688947283,0,0,60.812296003530626,True,False,False,True,5,True,True
32,6.160701036453247,362.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,60.07896267019729,True,False,False,True,5,True,True
33,6.264519929885864,358.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,59.34562933686395,False,False,False,True,5,True,True
34,6.36765718460083,354.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,58.61229600353062,False,False,False,True,5,True,True
35,6.471131801605225,350.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,57.87896267019729,False,False,False,True,5,True,True
36,6.57441258430481,346.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,57.145629336863955,False,False,False,True,5,True,True
37,6.677274465560913,342.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,56.41229600353063,False,False,False,True,5,True,True
38,6.7801597118377686,338.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,55.67896267019729,False,False,False,True,5,True,True
39,6.883197546005249,334.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,54.94562933686396,False,False,False,True,5,True,True
40,6.986432790756226,330.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,54.212296003530625,False,False,False,True,5,True,True
41,7.089317083358765,326.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,53.47896267019729,False,False,False,True,5,True,True
42,7.192322492599487,322.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,52.745629336863956,False,False,False,True,5,True,True
43,7.2953667640686035,318.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,52.01229600353062,False,False,False,True,5,True,True
44,7.398270845413208,314.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,51.27896267019729,False,False,False,True,5,True,True
45,7.501151084899902,310.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,50.54562933686395,False,False,False,True,5,True,True
46,7.6040873527526855,306.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,49.81229600353062,False,False,False,True,5,True,True
47,7.7071099281311035,302.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,49.078962670197285,False,False,False,True,5,True,True
48,7.810086965560913,298.0,260.0,197.93293088983296,203.9464533301482,50,False,40.276483556139496,0,0,48.34562933686396,False,False,False,True,5,True,True
49,7.913151264190674,294.0,256.0,197.93293088983296,203.9464533301482,50,False,39.54315022280616,0,0,47.61229600353062,True,False,False,True,5,True,True
50,8.016072511672974,290.0,252.0,197.93293088983296,203.9464533301482,50,False,38.80981688947283,0,0,46.87896267019729,True,False,False,True,5,True,True
51,8.119222164154053,286.0,248.0,197.93293088983296,203.9464533301482,50,False,38.0764835561395,0,0,46.14562933686396,True,False,False,True,5,True,True
52,8.222578287124634,282.0,248.0,197.93293088983296,203.9464533301482,50,False,38.0764835561395,0,0,45.41229600353063,False,False,False,True,5,True,True
53,8.325595378875732,278.0,248.0,197.93293088983296,203.9464533301482,50,False,38.0764835561395,0,0,44.67896267019729,False,False,False,True,5,True,True
54,8.428642749786377,274.0,244.0,197.93293088983296,203.9464533301482,50,False,37.343150222806166,0,0,43.94562933686396,True,False,False,True,5,True,True
55,8.531718254089355,270.0,240.0,197.93293088983296,203.9464533301482,50,False,36.60981688947283,0,0,43.212296003530625,True,False,False,True,5,True,True
56,8.634741067886353,266.0,236.0,197.93293088983296,203.9464533301482,50,False,35.8764835561395,0,0,42.47896267019729,True,False,False,True,5,True,True
57,8.73784065246582,262.0,232.0,197.93293088983296,203.9464533301482,50,False,35.14315022280616,0,0,41.745629336863956,True,False,False,True,5,True,True
58,8.840682744979858,258.0,228.0,197.93293088983296,203.9464533301482,50,False,34.409816889472836,0,0,41.01229600353062,True,False,False,True,5,True,True
59,8.943719387054443,254.0,224.0,197.93293088983296,203.9464533301482,50,False,33.6764835561395,0,0,40.27896267019729,True,False,False,True,5,True,True
60,9.047112464904785,250.0,220.0,197.93293088983296,203.9464533301482,50,False,32.94315022280617,0,0,39.54562933686395,True,False,False,True,5,True,True
61,9.150490283966064,246.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,38.81229600353062,True,False,False,True,5,True,True
62,9.253993511199951,242.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,38.07896267019729,False,False,False,True,5,True,True
63,9.357298374176025,238.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,37.34562933686396,False,False,False,True,5,True,True
64,9.460613489151001,238.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,37.34562933686396,False,False,False,False,5,True,True
65,9.56419062614441,238.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,37.34562933686396,False,False,False,False,5,True,True
66,9.667651891708374,238.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,37.34562933686396,False,False,False,False,5,True,True
67,9.770811796188354,238.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,37.34562933686396,False,False,False,False,5,True,True
68,9.874210596084595,234.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,36.61229600353062,False,False,False,True,5,True,True
69,9.977864503860474,230.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.87896267019729,False,False,False,True,5,True,True
70,10.081373453140259,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,True,5,True,True
71,10.1846182346344,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
72,10.288069725036621,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
73,10.391316652297974,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
74,10.49483609199524,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
75,10.598039150238037,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
76,10.70157766342163,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
77,10.80492639541626,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
78,10.908328294754028,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
79,11.011599779129028,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
80,11.114968061447144,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
81,11.218517541885376,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
82,11.321972370147705,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
83,11.425363779067993,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
84,11.528723239898682,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
85,11.632104635238647,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
86,11.735393285751343,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
87,11.838956594467163,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
88,11.942402839660645,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
89,12.045963287353516,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
90,12.14940071105957,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
91,12.252948760986328,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
92,12.356504440307617,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
93,12.460217714309692,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
94,12.563593626022339,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
95,12.666648387908936,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
96,12.769593477249146,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
97,12.872556924819946,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
98,12.97559142112732,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
99,13.078611373901367,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
100,13.181870460510254,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
101,13.284972906112671,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
102,13.388169527053833,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
103,13.491272211074829,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
104,13.594560384750366,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
105,13.697571039199829,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
106,13.800585269927979,226.0,216.0,197.93293088983296,203.9464533301482,50,True,32.20981688947283,0,0,35.145629336863955,False,False,False,False,5,True,True
