frame,time,drone_x,drone_y,waypoint_x,waypoint_y,waypoint_radius,interacting,rtm_up,rtm_down,rtm_right,rtm_left,key_up,key_down,key_right,key_left,id,visuals,haptics
0,4.609762668609619,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
1,4.712859630584717,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
2,4.8157079219818115,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
3,4.91850733757019,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
4,5.021313667297363,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
5,5.124281644821167,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
6,5.227229595184326,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
7,5.330254554748535,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
8,5.433216571807861,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
9,5.536191701889038,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
10,5.639244079589844,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
11,5.74225115776062,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
12,5.845232248306274,450.0,300.0,742.6891948396756,264.03606881021256,50,False,36.59338738479436,0,83.65968572060719,0,False,False,False,False,1,False,True
13,5.948131799697876,450.0,296.0,742.6891948396756,264.03606881021256,50,False,35.860054051461034,0,83.65968572060719,0,True,False,False,False,1,False,True
14,6.0513036251068115,450.0,296.0,742.6891948396756,264.03606881021256,50,False,35.860054051461034,0,83.65968572060719,0,False,False,False,False,1,False,True
15,6.154262065887451,450.0,296.0,742.6891948396756,264.03606881021256,50,False,35.860054051461034,0,83.65968572060719,0,False,False,False,False,1,False,True
16,6.257304906845093,450.0,292.0,742.6891948396756,264.03606881021256,50,False,35.1267207181277,0,83.65968572060719,0,True,False,False,False,1,False,True
17,6.360253810882568,450.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,83.65968572060719,0,True,False,False,False,1,False,True
18,6.46336030960083,450.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,83.65968572060719,0,False,False,False,False,1,False,True
19,6.56644344329834,450.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,83.65968572060719,0,False,False,False,False,1,False,True
20,6.669358968734741,450.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,83.65968572060719,0,False,False,False,False,1,False,True
21,6.772502660751343,450.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,83.65968572060719,0,False,False,False,False,1,False,True
22,6.8754963874816895,450.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,83.65968572060719,0,False,False,False,False,1,False,True
23,6.978515863418579,454.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,82.92635238727385,0,False,False,True,False,1,False,True
24,7.082432985305786,458.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,82.19301905394053,0,False,False,True,False,1,False,True
25,7.185508728027344,458.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,82.19301905394053,0,False,False,False,False,1,False,True
26,7.288740873336792,462.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,81.45968572060718,0,False,False,True,False,1,False,True
27,7.391786098480225,466.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,80.72635238727385,0,False,False,True,False,1,False,True
28,7.494858503341675,466.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,80.72635238727385,0,False,False,False,False,1,False,True
29,7.597929000854492,466.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,80.72635238727385,0,False,False,False,False,1,False,True
30,7.700765132904053,466.0,288.0,742.6891948396756,264.03606881021256,50,False,34.393387384794366,0,80.72635238727385,0,False,False,False,False,1,False,True
31,7.803813695907593,466.0,284.0,742.6891948396756,264.03606881021256,50,False,33.66005405146103,0,80.72635238727385,0,True,False,False,False,1,False,True
32,7.906742811203003,466.0,280.0,742.6891948396756,264.03606881021256,50,False,32.9267207181277,0,80.72635238727385,0,True,False,False,False,1,False,True
33,8.009934663772583,466.0,280.0,742.6891948396756,264.03606881021256,50,False,32.9267207181277,0,80.72635238727385,0,False,False,False,False,1,False,True
34,8.112938404083252,466.0,276.0,742.6891948396756,264.03606881021256,50,False,32.19338738479436,0,80.72635238727385,0,True,False,False,False,1,False,True
35,8.216014862060547,466.0,276.0,742.6891948396756,264.03606881021256,50,False,32.19338738479436,0,80.72635238727385,0,False,False,False,False,1,False,True
36,8.318872928619385,466.0,272.0,742.6891948396756,264.03606881021256,50,False,31.460054051461032,0,80.72635238727385,0,True,False,False,False,1,False,True
