frame,time,drone_x,drone_y,waypoint_x,waypoint_y,waypoint_radius,interacting,key_up,key_down,key_right,key_left,id,visuals,haptics
0,5.277644634246826,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
1,5.310902833938599,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
2,5.344425439834595,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
3,5.377742052078247,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
4,5.411006689071655,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
5,5.444356918334961,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
6,5.4777350425720215,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
7,5.511199951171875,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
8,5.543565511703491,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
9,5.577088832855225,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
10,5.610431671142578,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
11,5.643821716308594,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
12,5.67751932144165,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
13,5.7112860679626465,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
14,5.743889093399048,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
15,5.77651309967041,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
16,5.809491872787476,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
17,5.8433003425598145,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
18,5.875869035720825,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
19,5.909447908401489,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
20,5.94268798828125,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
21,5.9759767055511475,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
22,6.009512186050415,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
23,6.042869329452515,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
24,6.076253652572632,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
25,6.108520984649658,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
26,6.141784906387329,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
27,6.175093412399292,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
28,6.208475112915039,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
29,6.2417638301849365,450.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,False,5,True,False
30,6.275310277938843,446.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
31,6.307738542556763,442.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
32,6.341130971908569,438.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
33,6.374476671218872,434.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
34,6.407727003097534,430.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
35,6.441118478775024,426.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
36,6.474362134933472,422.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
37,6.507597923278809,418.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
38,6.540891408920288,414.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
39,6.574208498001099,410.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
40,6.607566833496094,406.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
41,6.641072034835815,402.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
42,6.674457788467407,398.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
43,6.707790851593018,394.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
44,6.7413294315338135,390.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
45,6.773813009262085,386.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
46,6.807133674621582,382.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
47,6.840600252151489,378.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
48,6.874001502990723,374.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
49,6.906599044799805,370.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
50,6.93997049331665,366.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
51,6.973401069641113,362.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
52,7.0056681632995605,358.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
53,7.039132833480835,354.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
54,7.072756052017212,350.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
55,7.106261730194092,346.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
56,7.139533519744873,342.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
57,7.172325849533081,338.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
58,7.206431150436401,334.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
59,7.238835334777832,330.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
60,7.272139549255371,326.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
61,7.305401802062988,322.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
62,7.33785605430603,318.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
63,7.371261119842529,314.0,300.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
64,7.404757022857666,310.0,296.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
65,7.4380199909210205,306.0,292.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
66,7.471311092376709,302.0,288.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
67,7.5035951137542725,298.0,284.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
68,7.536910772323608,294.0,280.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
69,7.570261240005493,290.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
70,7.60282564163208,286.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
71,7.636262893676758,282.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
72,7.668591260910034,278.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
73,7.7017834186553955,274.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
74,7.735008478164673,270.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
75,7.768409013748169,266.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
76,7.801612615585327,262.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
77,7.8348448276519775,258.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
78,7.868093490600586,254.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
79,7.9015069007873535,250.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
80,7.9350645542144775,246.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
81,7.968368768692017,242.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
82,8.001591205596924,238.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
83,8.034942388534546,234.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
84,8.068378686904907,230.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
85,8.101799249649048,226.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
86,8.135282516479492,222.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
87,8.167699575424194,218.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
88,8.201019287109375,214.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
89,8.234183549880981,210.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
90,8.267370700836182,206.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
91,8.30066704750061,202.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
92,8.333902359008789,198.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
93,8.366082429885864,194.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
94,8.399233102798462,190.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
95,8.432589769363403,186.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
96,8.465555906295776,182.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
97,8.498750686645508,178.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
98,8.531974077224731,174.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
99,8.56538200378418,170.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
100,8.598682880401611,166.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
101,8.631914138793945,162.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
102,8.665161848068237,158.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
103,8.699352979660034,154.0,280.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
104,8.732863187789917,150.0,276.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
105,8.766101598739624,146.0,272.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
106,8.799371004104614,142.0,268.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
107,8.83298110961914,138.0,268.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
108,8.866244554519653,134.0,268.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
109,8.899613618850708,130.0,268.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
110,8.933025360107422,126.0,268.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
111,8.966400861740112,122.0,268.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
112,8.998836755752563,118.0,268.0,36.56410018645676,235.06497185845362,50,False,False,False,False,True,5,True,False
113,9.032835483551025,114.0,264.0,36.56410018645676,235.06497185845362,50,False,True,False,False,True,5,True,False
